gene,id,desc
ASCL1,ENSG00000139352,achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]
CD34,ENSG00000174059,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
CD69,ENSG00000110848,CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]
CDH1,ENSG00000039068,cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]
CDH5,ENSG00000179776,cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]
CER1,ENSG00000147869,"cerberus 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:1862]"
CITED2,ENSG00000164442,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]
CXCR4,ENSG00000121966,C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]
DLX1,ENSG00000144355,distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]
DPPA4,ENSG00000121570,developmental pluripotency associated 4 [Source:HGNC Symbol;Acc:HGNC:19200]
EDNRB,ENSG00000136160,endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]
EN2,ENSG00000164778,engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]
EOMES,ENSG00000163508,eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]
FOXA2,ENSG00000125798,forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]
FOXD3,ENSG00000187140,forkhead box D3 [Source:HGNC Symbol;Acc:HGNC:3804]
GATA3,ENSG00000107485,GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]
GATA4,ENSG00000136574,GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]
GATA6,ENSG00000141448,GATA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:4174]
GBX2,ENSG00000168505,gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4186]
GFAP,ENSG00000131095,glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]
GLI2,ENSG00000074047,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]
GPX2,ENSG00000176153,glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]
HES1,ENSG00000114315,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
HHEX,ENSG00000152804,hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]
HOPX,ENSG00000171476,HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]
ISL1,ENSG00000016082,ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]
ITGA4,ENSG00000115232,integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]
