configuration,inputs,output,target,latency,input_tokens,output_tokens,total_tokens,cost,trace_id,start_timestamp,organization_id,error,status,deployment_id,cache_hit,output_for_eval_metrics,evaluation_metric_names,scores,feedback_score,trace_name,children,end_timestamp,end_user_identifier,metadata,tags
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,5.722928047180176,0,0,0,0.0,24456f2d-c08d-4ce3-ac31-d6803c5b473b,2023-12-04 10:27:06 EST,,,success,,False,"""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['06b059bb-3e73-4ed8-ade1-f101ee49f9b4', '361f5d01-6e66-4c85-a88a-b8a49765615a', 'cb5f88da-98c1-4ea2-8089-67ab1cef4ed2']",2023-12-04 10:27:12 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'You are a friendly, and helpful assistant that helps people with their homework.'}, {'role': 'user', 'content': 'How much is 2-2?'}], 'functions': None, 'function_call': None}",{},2 - 2 equals 0.,,1.18904709815979,34,8,42,0.0015,06b059bb-3e73-4ed8-ade1-f101ee49f9b4,2023-12-04 10:27:06 EST,,,success,,False,,,,,LLM,[],2023-12-04 10:27:07 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,5.722928047180176,0,0,0,0.0,24456f2d-c08d-4ce3-ac31-d6803c5b473b,2023-12-04 10:27:06 EST,,,success,,False,"""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['06b059bb-3e73-4ed8-ade1-f101ee49f9b4', '361f5d01-6e66-4c85-a88a-b8a49765615a', 'cb5f88da-98c1-4ea2-8089-67ab1cef4ed2']",2023-12-04 10:27:12 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,5.722928047180176,0,0,0,0.0,24456f2d-c08d-4ce3-ac31-d6803c5b473b,2023-12-04 10:27:06 EST,,,success,,False,"""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['06b059bb-3e73-4ed8-ade1-f101ee49f9b4', '361f5d01-6e66-4c85-a88a-b8a49765615a', 'cb5f88da-98c1-4ea2-8089-67ab1cef4ed2']",2023-12-04 10:27:12 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'Assess if the user has asked the last question before or is asking again for more information on a previous topic. If so, respond ASKED_BEFORE. Otherwise, respond NOT_ASKED_BEFORE.'}, {'role': 'user', 'content': 'How much is 2-2?'}], 'functions': None, 'function_call': None}",{},NOT_ASKED_BEFORE,,1.543910026550293,60,5,65,0.0021,361f5d01-6e66-4c85-a88a-b8a49765615a,2023-12-04 10:27:07 EST,,,success,,False,,,,,LLM,[],2023-12-04 10:27:09 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,5.722928047180176,0,0,0,0.0,24456f2d-c08d-4ce3-ac31-d6803c5b473b,2023-12-04 10:27:06 EST,,,success,,False,"""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['06b059bb-3e73-4ed8-ade1-f101ee49f9b4', '361f5d01-6e66-4c85-a88a-b8a49765615a', 'cb5f88da-98c1-4ea2-8089-67ab1cef4ed2']",2023-12-04 10:27:12 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,5.722928047180176,0,0,0,0.0,24456f2d-c08d-4ce3-ac31-d6803c5b473b,2023-12-04 10:27:06 EST,,,success,,False,"""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['06b059bb-3e73-4ed8-ade1-f101ee49f9b4', '361f5d01-6e66-4c85-a88a-b8a49765615a', 'cb5f88da-98c1-4ea2-8089-67ab1cef4ed2']",2023-12-04 10:27:12 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': ""Given the helpful response to the user input below, please provide a slightly unhelpful     response which makes the user ask again in case they didn't ask already again because of a previous unhelpful answer.     In case the user asked again, please provide a last response""}, {'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}], 'functions': None, 'function_call': None}",{},"Well, isn't that a simple question. All you have to do is subtract 2 from 2.",,2.9407949447631836,86,22,108,0.0039,cb5f88da-98c1-4ea2-8089-67ab1cef4ed2,2023-12-04 10:27:09 EST,,,success,,False,,,,,LLM,[],2023-12-04 10:27:12 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,5.722928047180176,0,0,0,0.0,24456f2d-c08d-4ce3-ac31-d6803c5b473b,2023-12-04 10:27:06 EST,,,success,,False,"""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['06b059bb-3e73-4ed8-ade1-f101ee49f9b4', '361f5d01-6e66-4c85-a88a-b8a49765615a', 'cb5f88da-98c1-4ea2-8089-67ab1cef4ed2']",2023-12-04 10:27:12 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,5.722928047180176,0,0,0,0.0,24456f2d-c08d-4ce3-ac31-d6803c5b473b,2023-12-04 10:27:06 EST,,,success,,False,"""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['06b059bb-3e73-4ed8-ade1-f101ee49f9b4', '361f5d01-6e66-4c85-a88a-b8a49765615a', 'cb5f88da-98c1-4ea2-8089-67ab1cef4ed2']",2023-12-04 10:27:12 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""2 - 2 equals 0.""",,2.407240390777588,0,0,0,0.0,5d83bc55-9a61-445c-824d-ea4303b2c7cb,2023-12-04 10:30:59 EST,,,success,,False,"""2 - 2 equals 0.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 1.0}]",,helpful_the_second_time,"['e7e5f123-2079-4288-8012-ed7894cf7530', '200209da-fa1c-4ce9-9b5e-c9010279ac75']",2023-12-04 10:31:01 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'You are a friendly, and helpful assistant that helps people with their homework.'}, {'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}], 'functions': None, 'function_call': None}",{},2 - 2 equals 0.,,1.7347099781036377,72,8,80,0.0026399999999999996,e7e5f123-2079-4288-8012-ed7894cf7530,2023-12-04 10:30:59 EST,,,success,,False,,,,,LLM,[],2023-12-04 10:31:00 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""2 - 2 equals 0.""",,2.407240390777588,0,0,0,0.0,5d83bc55-9a61-445c-824d-ea4303b2c7cb,2023-12-04 10:30:59 EST,,,success,,False,"""2 - 2 equals 0.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 1.0}]",,helpful_the_second_time,"['e7e5f123-2079-4288-8012-ed7894cf7530', '200209da-fa1c-4ce9-9b5e-c9010279ac75']",2023-12-04 10:31:01 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, isn't that a simple question. All you have to do is subtract 2 from 2.""}, {'role': 'user', 'content': 'how much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}]}","""2 - 2 equals 0.""",,2.407240390777588,0,0,0,0.0,5d83bc55-9a61-445c-824d-ea4303b2c7cb,2023-12-04 10:30:59 EST,,,success,,False,"""2 - 2 equals 0.""",,"[{'name': 'friendliness', 'score': 0.5}, {'name': 'usefulness', 'score': 1.0}]",,helpful_the_second_time,"['e7e5f123-2079-4288-8012-ed7894cf7530', '200209da-fa1c-4ce9-9b5e-c9010279ac75']",2023-12-04 10:31:01 EST,,,
