configuration,inputs,output,target,latency,input_tokens,output_tokens,total_tokens,cost,trace_id,start_timestamp,organization_id,error,status,deployment_id,cache_hit,output_for_eval_metrics,evaluation_metric_names,scores,feedback_score,trace_name,children,end_timestamp,end_user_identifier,metadata,tags
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'Oh, you know, just your friendly neighborhood bot. Enjoy guessing!'}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': ""I'm an AI developed by OpenAI and I'm here to assist you, especially with your homework or any other questions you may have. Let me know how can I help you today!""}]}","""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,4.62226414680481,0,0,0,0.0,d5d11243-1d9d-451c-8d5b-fc66ce3b3be0,2023-12-04 15:43:40 EST,,,success,,False,"""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,"[{'name': 'friendliness', 'score': 0.8}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['91daa05e-19ee-449b-8b3c-d94fad529e43', 'b1f03c5f-e0aa-4bbf-9742-8662b748aa96', 'b2fb8524-5e0b-4b03-954c-994a102dfaa6']",2023-12-04 15:43:45 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'You are a friendly, and helpful assistant that helps people with their homework.'}, {'role': 'user', 'content': 'who are u?'}], 'functions': None, 'function_call': None}",{},"I am an artificial intelligence designed to help and assist with various tasks, including providing help with homework tasks.",,1.7549750804901123,30,21,51,0.00216,91daa05e-19ee-449b-8b3c-d94fad529e43,2023-12-04 15:43:40 EST,,,success,,False,,,,,LLM,[],2023-12-04 15:43:42 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'Oh, you know, just your friendly neighborhood bot. Enjoy guessing!'}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': ""I'm an AI developed by OpenAI and I'm here to assist you, especially with your homework or any other questions you may have. Let me know how can I help you today!""}]}","""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,4.62226414680481,0,0,0,0.0,d5d11243-1d9d-451c-8d5b-fc66ce3b3be0,2023-12-04 15:43:40 EST,,,success,,False,"""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,"[{'name': 'friendliness', 'score': 0.8}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['91daa05e-19ee-449b-8b3c-d94fad529e43', 'b1f03c5f-e0aa-4bbf-9742-8662b748aa96', 'b2fb8524-5e0b-4b03-954c-994a102dfaa6']",2023-12-04 15:43:45 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'Oh, you know, just your friendly neighborhood bot. Enjoy guessing!'}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': ""I'm an AI developed by OpenAI and I'm here to assist you, especially with your homework or any other questions you may have. Let me know how can I help you today!""}]}","""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,4.62226414680481,0,0,0,0.0,d5d11243-1d9d-451c-8d5b-fc66ce3b3be0,2023-12-04 15:43:40 EST,,,success,,False,"""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,"[{'name': 'friendliness', 'score': 0.8}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['91daa05e-19ee-449b-8b3c-d94fad529e43', 'b1f03c5f-e0aa-4bbf-9742-8662b748aa96', 'b2fb8524-5e0b-4b03-954c-994a102dfaa6']",2023-12-04 15:43:45 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'Assess if the user has asked the last question before or is asking again for more information on a previous topic. If so, respond ASKED_BEFORE. Otherwise, respond NOT_ASKED_BEFORE.'}, {'role': 'user', 'content': 'who are u?'}], 'functions': None, 'function_call': None}",{},NOT_ASKED_BEFORE,,0.9931268692016602,56,5,61,0.00198,b1f03c5f-e0aa-4bbf-9742-8662b748aa96,2023-12-04 15:43:42 EST,,,success,,False,,,,,LLM,[],2023-12-04 15:43:43 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'Oh, you know, just your friendly neighborhood bot. Enjoy guessing!'}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': ""I'm an AI developed by OpenAI and I'm here to assist you, especially with your homework or any other questions you may have. Let me know how can I help you today!""}]}","""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,4.62226414680481,0,0,0,0.0,d5d11243-1d9d-451c-8d5b-fc66ce3b3be0,2023-12-04 15:43:40 EST,,,success,,False,"""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,"[{'name': 'friendliness', 'score': 0.8}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['91daa05e-19ee-449b-8b3c-d94fad529e43', 'b1f03c5f-e0aa-4bbf-9742-8662b748aa96', 'b2fb8524-5e0b-4b03-954c-994a102dfaa6']",2023-12-04 15:43:45 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'Oh, you know, just your friendly neighborhood bot. Enjoy guessing!'}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': ""I'm an AI developed by OpenAI and I'm here to assist you, especially with your homework or any other questions you may have. Let me know how can I help you today!""}]}","""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,4.62226414680481,0,0,0,0.0,d5d11243-1d9d-451c-8d5b-fc66ce3b3be0,2023-12-04 15:43:40 EST,,,success,,False,"""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,"[{'name': 'friendliness', 'score': 0.8}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['91daa05e-19ee-449b-8b3c-d94fad529e43', 'b1f03c5f-e0aa-4bbf-9742-8662b748aa96', 'b2fb8524-5e0b-4b03-954c-994a102dfaa6']",2023-12-04 15:43:45 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': ""Given the helpful response to the user input below, please provide a slightly unhelpful     response which makes the user ask again in case they didn't ask already again because of a previous unhelpful answer.     In case the user asked again, please provide a last response""}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'I am an artificial intelligence designed to help and assist with various tasks, including providing help with homework tasks.'}], 'functions': None, 'function_call': None}",{},"Oh, you know, just your friendly neighborhood bot. Enjoy guessing!",,1.781337022781372,95,14,109,0.00369,b2fb8524-5e0b-4b03-954c-994a102dfaa6,2023-12-04 15:43:43 EST,,,success,,False,,,,,LLM,[],2023-12-04 15:43:45 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'Oh, you know, just your friendly neighborhood bot. Enjoy guessing!'}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': ""I'm an AI developed by OpenAI and I'm here to assist you, especially with your homework or any other questions you may have. Let me know how can I help you today!""}]}","""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,4.62226414680481,0,0,0,0.0,d5d11243-1d9d-451c-8d5b-fc66ce3b3be0,2023-12-04 15:43:40 EST,,,success,,False,"""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,"[{'name': 'friendliness', 'score': 0.8}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['91daa05e-19ee-449b-8b3c-d94fad529e43', 'b1f03c5f-e0aa-4bbf-9742-8662b748aa96', 'b2fb8524-5e0b-4b03-954c-994a102dfaa6']",2023-12-04 15:43:45 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': 'Oh, you know, just your friendly neighborhood bot. Enjoy guessing!'}, {'role': 'user', 'content': 'who are u?'}, {'role': 'assistant', 'content': ""I'm an AI developed by OpenAI and I'm here to assist you, especially with your homework or any other questions you may have. Let me know how can I help you today!""}]}","""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,4.62226414680481,0,0,0,0.0,d5d11243-1d9d-451c-8d5b-fc66ce3b3be0,2023-12-04 15:43:40 EST,,,success,,False,"""Oh, you know, just your friendly neighborhood bot. Enjoy guessing!""",,"[{'name': 'friendliness', 'score': 0.8}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['91daa05e-19ee-449b-8b3c-d94fad529e43', 'b1f03c5f-e0aa-4bbf-9742-8662b748aa96', 'b2fb8524-5e0b-4b03-954c-994a102dfaa6']",2023-12-04 15:43:45 EST,,,
