configuration,inputs,output,target,latency,input_tokens,output_tokens,total_tokens,cost,trace_id,start_timestamp,organization_id,error,status,deployment_id,cache_hit,output_for_eval_metrics,evaluation_metric_names,scores,feedback_score,trace_name,children,end_timestamp,end_user_identifier,metadata,tags
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, it's the result you get when you take 2 away from 2.""}, {'role': 'user', 'content': 'How MUCH IS 2-2?'}, {'role': 'assistant', 'content': 'The result of 2-2 is 0.'}]}","""Well, it's the result you get when you take 2 away from 2.""",,5.765616178512573,0,0,0,0.0,d6d60efa-5b28-4038-84e8-39d9a9f0245f,2023-12-04 10:21:34 EST,,,success,,False,"""Well, it's the result you get when you take 2 away from 2.""",,"[{'name': 'friendliness', 'score': 0.7}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['830cce00-d087-451b-997f-a1d2ae9b10c0', 'b5da0005-8338-4e17-8f65-0919b68926c7', '2138fa1c-73f7-4228-82a3-aa2418b728de']",2023-12-04 10:21:40 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'You are a friendly, and helpful assistant that helps people with their homework.'}, {'role': 'user', 'content': 'How much is 2-2?'}], 'functions': None, 'function_call': None}",{},2 - 2 equals 0.,,2.0404789447784424,34,8,42,0.0015,830cce00-d087-451b-997f-a1d2ae9b10c0,2023-12-04 10:21:34 EST,,,success,,False,,,,,LLM,[],2023-12-04 10:21:36 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, it's the result you get when you take 2 away from 2.""}, {'role': 'user', 'content': 'How MUCH IS 2-2?'}, {'role': 'assistant', 'content': 'The result of 2-2 is 0.'}]}","""Well, it's the result you get when you take 2 away from 2.""",,5.765616178512573,0,0,0,0.0,d6d60efa-5b28-4038-84e8-39d9a9f0245f,2023-12-04 10:21:34 EST,,,success,,False,"""Well, it's the result you get when you take 2 away from 2.""",,"[{'name': 'friendliness', 'score': 0.7}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['830cce00-d087-451b-997f-a1d2ae9b10c0', 'b5da0005-8338-4e17-8f65-0919b68926c7', '2138fa1c-73f7-4228-82a3-aa2418b728de']",2023-12-04 10:21:40 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, it's the result you get when you take 2 away from 2.""}, {'role': 'user', 'content': 'How MUCH IS 2-2?'}, {'role': 'assistant', 'content': 'The result of 2-2 is 0.'}]}","""Well, it's the result you get when you take 2 away from 2.""",,5.765616178512573,0,0,0,0.0,d6d60efa-5b28-4038-84e8-39d9a9f0245f,2023-12-04 10:21:34 EST,,,success,,False,"""Well, it's the result you get when you take 2 away from 2.""",,"[{'name': 'friendliness', 'score': 0.7}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['830cce00-d087-451b-997f-a1d2ae9b10c0', 'b5da0005-8338-4e17-8f65-0919b68926c7', '2138fa1c-73f7-4228-82a3-aa2418b728de']",2023-12-04 10:21:40 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'Assess if the user has asked the last question before or is asking again for more information on a previous topic. If so, respond ASKED_BEFORE. Otherwise, respond NOT_ASKED_BEFORE.'}, {'role': 'user', 'content': 'How much is 2-2?'}], 'functions': None, 'function_call': None}",{},NOT_ASKED_BEFORE,,0.9235692024230957,60,5,65,0.0021,b5da0005-8338-4e17-8f65-0919b68926c7,2023-12-04 10:21:36 EST,,,success,,False,,,,,LLM,[],2023-12-04 10:21:37 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, it's the result you get when you take 2 away from 2.""}, {'role': 'user', 'content': 'How MUCH IS 2-2?'}, {'role': 'assistant', 'content': 'The result of 2-2 is 0.'}]}","""Well, it's the result you get when you take 2 away from 2.""",,5.765616178512573,0,0,0,0.0,d6d60efa-5b28-4038-84e8-39d9a9f0245f,2023-12-04 10:21:34 EST,,,success,,False,"""Well, it's the result you get when you take 2 away from 2.""",,"[{'name': 'friendliness', 'score': 0.7}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['830cce00-d087-451b-997f-a1d2ae9b10c0', 'b5da0005-8338-4e17-8f65-0919b68926c7', '2138fa1c-73f7-4228-82a3-aa2418b728de']",2023-12-04 10:21:40 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, it's the result you get when you take 2 away from 2.""}, {'role': 'user', 'content': 'How MUCH IS 2-2?'}, {'role': 'assistant', 'content': 'The result of 2-2 is 0.'}]}","""Well, it's the result you get when you take 2 away from 2.""",,5.765616178512573,0,0,0,0.0,d6d60efa-5b28-4038-84e8-39d9a9f0245f,2023-12-04 10:21:34 EST,,,success,,False,"""Well, it's the result you get when you take 2 away from 2.""",,"[{'name': 'friendliness', 'score': 0.7}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['830cce00-d087-451b-997f-a1d2ae9b10c0', 'b5da0005-8338-4e17-8f65-0919b68926c7', '2138fa1c-73f7-4228-82a3-aa2418b728de']",2023-12-04 10:21:40 EST,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': ""Given the helpful response to the user input below, please provide a slightly unhelpful     response which makes the user ask again in case they didn't ask already again because of a previous unhelpful answer.     In case the user asked again, please provide a last response""}, {'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': '2 - 2 equals 0.'}], 'functions': None, 'function_call': None}",{},"Well, it's the result you get when you take 2 away from 2.",,2.616528034210205,86,18,104,0.0036599999999999996,2138fa1c-73f7-4228-82a3-aa2418b728de,2023-12-04 10:21:37 EST,,,success,,False,,,,,LLM,[],2023-12-04 10:21:40 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, it's the result you get when you take 2 away from 2.""}, {'role': 'user', 'content': 'How MUCH IS 2-2?'}, {'role': 'assistant', 'content': 'The result of 2-2 is 0.'}]}","""Well, it's the result you get when you take 2 away from 2.""",,5.765616178512573,0,0,0,0.0,d6d60efa-5b28-4038-84e8-39d9a9f0245f,2023-12-04 10:21:34 EST,,,success,,False,"""Well, it's the result you get when you take 2 away from 2.""",,"[{'name': 'friendliness', 'score': 0.7}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['830cce00-d087-451b-997f-a1d2ae9b10c0', 'b5da0005-8338-4e17-8f65-0919b68926c7', '2138fa1c-73f7-4228-82a3-aa2418b728de']",2023-12-04 10:21:40 EST,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'How much is 2-2?'}, {'role': 'assistant', 'content': ""Well, it's the result you get when you take 2 away from 2.""}, {'role': 'user', 'content': 'How MUCH IS 2-2?'}, {'role': 'assistant', 'content': 'The result of 2-2 is 0.'}]}","""Well, it's the result you get when you take 2 away from 2.""",,5.765616178512573,0,0,0,0.0,d6d60efa-5b28-4038-84e8-39d9a9f0245f,2023-12-04 10:21:34 EST,,,success,,False,"""Well, it's the result you get when you take 2 away from 2.""",,"[{'name': 'friendliness', 'score': 0.7}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['830cce00-d087-451b-997f-a1d2ae9b10c0', 'b5da0005-8338-4e17-8f65-0919b68926c7', '2138fa1c-73f7-4228-82a3-aa2418b728de']",2023-12-04 10:21:40 EST,,,
